	timestamp	path_msa
0	Thu Oct 27 18:23:45 2022	/home/disco/Data/pandora-msas/msas/GC00000680_17.fa
1	Thu Oct 27 18:24:12 2022	/home/disco/Data/pandora-msas/msas/GC00000708_55.fa
2	Thu Oct 27 18:24:14 2022	/home/disco/Data/pandora-msas/msas/GC00000610_2.fa
3	Thu Oct 27 18:24:17 2022	/home/disco/Data/pandora-msas/msas/GC00000072_7.fa
