timestamp	path_msa	n_seqs	n_cols	n_max_blocks	t_max_blocks
Fri Oct 28 15:58:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14470.fa	6	32	2	0.13905858993530273	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14484.fa	7	32	4	0.12563657760620117	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14456.fa	10	32	2	0.13578248023986816	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14452.fa	11	32	1	0.14862322807312012	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14458.fa	18	32	2	0.1366579532623291	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14460.fa	21	32	2	0.13971257209777832	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14450.fa	44	32	2	0.13453936576843262	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14445.fa	54	32	2	0.14261937141418457	
Fri Oct 28 15:58:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14449.fa	60	32	2	0.13514995574951172	
Fri Oct 28 15:58:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14440.fa	69	32	2	0.15173006057739258	
Fri Oct 28 15:58:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14448.fa	78	32	23	0.5651354789733887	
Fri Oct 28 15:58:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14443.fa	105	32	9	0.28745007514953613	
Fri Oct 28 15:58:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14442.fa	147	32	2	0.13304710388183594	
Fri Oct 28 15:58:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14446.fa	157	32	8	0.2938060760498047	
Fri Oct 28 15:58:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14403.fa	4	33	6	0.21325135231018066	
Fri Oct 28 15:58:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14390.fa	12	33	2	0.14857697486877441	
Fri Oct 28 15:58:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14381.fa	18	33	1	0.1471385955810547	
Fri Oct 28 15:58:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14379.fa	25	33	2	0.14390778541564941	
Fri Oct 28 15:58:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14374.fa	26	33	2	0.1538228988647461	
Fri Oct 28 15:58:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14380.fa	26	33	5	0.2789430618286133	
Fri Oct 28 15:58:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14378.fa	39	33	5	0.22023987770080566	
Fri Oct 28 15:58:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14372.fa	69	33	9	0.2974209785461426	
Fri Oct 28 15:58:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14373.fa	74	33	2	0.14741277694702148	
Fri Oct 28 15:58:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14366.fa	80	33	2	0.14126873016357422	
Fri Oct 28 15:58:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14371.fa	109	33	5	0.21624231338500977	
Fri Oct 28 15:58:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14364.fa	148	33	2	0.23616361618041992	
Fri Oct 28 15:58:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_14362.fa	149	33	5	0.23168301582336426	
Fri Oct 28 15:58:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_14367.fa	156	33	5	0.21420621871948242	
Fri Oct 28 15:58:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_14368.fa	157	33	2	0.14142251014709473	
Fri Oct 28 15:58:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_14365.fa	157	33	8	0.29415178298950195	
Fri Oct 28 15:58:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_14361.fa	157	33	2	0.16303801536560059	
Fri Oct 28 15:58:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14385.fa	157	33	4	0.24809956550598145	
Fri Oct 28 15:58:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14327.fa	3	34	2	0.14733147621154785	
Fri Oct 28 15:58:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14318.fa	5	34	2	0.2129204273223877	
Fri Oct 28 15:58:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14324.fa	7	34	3	0.14204907417297363	
Fri Oct 28 15:58:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14319.fa	9	34	2	0.14738011360168457	
Fri Oct 28 15:58:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14342.fa	9	34	6	0.25862669944763184	
Fri Oct 28 15:58:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14323.fa	10	34	2	0.18739795684814453	
Fri Oct 28 15:58:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14310.fa	10	34	2	0.14923429489135742	
Fri Oct 28 15:58:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14291.fa	23	34	2	0.15592432022094727	
Fri Oct 28 15:58:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14308.fa	40	34	22	0.5290184020996094	
Fri Oct 28 15:58:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14304.fa	41	34	2	0.17696142196655273	
Fri Oct 28 15:58:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14302.fa	42	34	5	0.23674654960632324	
Fri Oct 28 15:58:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14297.fa	43	34	7	0.22202038764953613	
Fri Oct 28 15:58:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14299.fa	46	34	4	0.243208646774292	
Fri Oct 28 15:58:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14293.fa	50	34	5	0.2416677474975586	
Fri Oct 28 15:58:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14298.fa	55	34	2	0.18313002586364746	
Fri Oct 28 15:58:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14294.fa	56	34	7	0.2297074794769287	
Fri Oct 28 15:58:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14301.fa	59	34	2	0.1548759937286377	
Fri Oct 28 15:58:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14325.fa	68	34	5	0.2294907569885254	
Fri Oct 28 15:58:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_14296.fa	86	34	8	0.34551310539245605	
Fri Oct 28 16:01:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_13923.fa	134	38	17	0.8203916549682617	
Fri Oct 28 16:01:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_13932.fa	142	38	5	0.30262207984924316	
Fri Oct 28 16:01:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_13927.fa	154	38	5	0.2827334403991699	
Fri Oct 28 16:01:34 2022	/home/disco/Data/pandora-msas/msas/Cluster_13931.fa	155	38	5	0.3179442882537842	
Fri Oct 28 16:01:34 2022	/home/disco/Data/pandora-msas/msas/Cluster_13925.fa	156	38	11	0.5088751316070557	
Fri Oct 28 16:01:35 2022	/home/disco/Data/pandora-msas/msas/Cluster_13963.fa	156	38	9	0.5083427429199219	
Fri Oct 28 16:01:35 2022	/home/disco/Data/pandora-msas/msas/Cluster_13928.fa	157	38	4	0.32059168815612793	
Fri Oct 28 16:01:35 2022	/home/disco/Data/pandora-msas/msas/Cluster_13935.fa	157	38	2	0.2028343677520752	
Fri Oct 28 16:01:37 2022	/home/disco/Data/pandora-msas/msas/Cluster_13936.fa	157	38	34	1.4354069232940674	
Fri Oct 28 16:01:37 2022	/home/disco/Data/pandora-msas/msas/Cluster_13933.fa	157	38	13	0.5553503036499023	
Fri Oct 28 16:01:37 2022	/home/disco/Data/pandora-msas/msas/Cluster_13892.fa	3	39	3	0.22373414039611816	
Fri Oct 28 16:01:38 2022	/home/disco/Data/pandora-msas/msas/Cluster_13872.fa	3	39	2	0.22327399253845215	
Fri Oct 28 16:01:38 2022	/home/disco/Data/pandora-msas/msas/Cluster_13884.fa	7	39	2	0.24707627296447754	
Fri Oct 28 16:01:38 2022	/home/disco/Data/pandora-msas/msas/Cluster_13856.fa	10	39	4	0.20156168937683105	
Fri Oct 28 16:01:38 2022	/home/disco/Data/pandora-msas/msas/Cluster_13882.fa	12	39	4	0.19991707801818848	
Fri Oct 28 16:01:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_13919.fa	26	39	4	0.375913143157959	
Fri Oct 28 16:01:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_13863.fa	27	39	4	0.36196303367614746	
Fri Oct 28 16:01:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_13852.fa	29	39	9	0.43857240676879883	
Fri Oct 28 16:01:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_13850.fa	32	39	2	0.2437903881072998	
Fri Oct 28 16:01:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_13846.fa	39	39	2	0.20276784896850586	
Fri Oct 28 16:01:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_13838.fa	56	39	5	0.3426399230957031	
Fri Oct 28 16:01:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_13945.fa	68	39	19	0.6137688159942627	
Fri Oct 28 16:01:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_13834.fa	99	39	6	0.3377678394317627	
Fri Oct 28 16:01:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_13840.fa	101	39	4	0.32596850395202637	
Fri Oct 28 16:01:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_13831.fa	105	39	8	0.42624831199645996	
Fri Oct 28 16:01:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_13907.fa	131	39	25	1.0072486400604248	
Fri Oct 28 16:01:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_13828.fa	138	39	5	0.3586306571960449	
Fri Oct 28 16:01:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_13839.fa	138	39	10	0.5177414417266846	
Fri Oct 28 16:01:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_13841.fa	142	39	30	0.8659474849700928	
Fri Oct 28 16:01:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_13823.fa	149	39	7	0.4231994152069092	
Fri Oct 28 16:01:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_13833.fa	153	39	18	0.7405805587768555	
Fri Oct 28 16:01:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_13849.fa	153	39	4	0.3227536678314209	
Fri Oct 28 16:01:47 2022	/home/disco/Data/pandora-msas/msas/Cluster_13826.fa	156	39	31	0.8705358505249023	
Fri Oct 28 16:01:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_13827.fa	157	39	10	0.6130819320678711	
Fri Oct 28 16:01:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_13836.fa	157	39	13	0.6840078830718994	
Fri Oct 28 16:01:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_13835.fa	157	39	10	0.5547645092010498	
Fri Oct 28 16:01:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_13837.fa	157	39	13	0.5326764583587646	
Fri Oct 28 16:01:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_13825.fa	157	39	25	0.8985593318939209	
Fri Oct 28 16:01:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_13830.fa	157	39	5	0.3461616039276123	
Fri Oct 28 16:01:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_13842.fa	157	39	2	0.217559814453125	
Fri Oct 28 16:01:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_13829.fa	157	39	13	0.5733122825622559	
Fri Oct 28 16:01:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_13772.fa	2	40	3	0.2311573028564453	
Fri Oct 28 16:01:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_13774.fa	3	40	2	0.2169055938720703	
Fri Oct 28 16:01:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_13801.fa	4	40	4	0.21796488761901855	
Fri Oct 28 16:01:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_13757.fa	11	40	2	0.22179698944091797	
Fri Oct 28 16:01:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_13748.fa	14	40	2	0.22987937927246094	
Fri Oct 28 16:01:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_13762.fa	20	40	5	0.39736032485961914	
Fri Oct 28 16:01:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_13763.fa	20	40	2	0.21439623832702637	
Fri Oct 28 16:01:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_13758.fa	26	40	5	0.3333466053009033	
Fri Oct 28 16:01:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_13754.fa	26	40	6	0.347698450088501	
Fri Oct 28 16:02:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_11809.fa	125	64	4	0.9484758377075195	
Fri Oct 28 16:02:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_11813.fa	140	64	84	5.923697233200073	
Fri Oct 28 16:02:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_11806.fa	155	64	9	1.2433290481567383	
Fri Oct 28 16:02:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_11857.fa	156	64	19	1.8241004943847656	
Fri Oct 28 16:02:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_11810.fa	156	64	19	1.7359111309051514	
Fri Oct 28 16:02:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_11811.fa	157	64	5	0.9969778060913086	
Fri Oct 28 16:02:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_11805.fa	157	64	9	1.1866486072540283	
Fri Oct 28 16:03:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_11824.fa	157	64	34	2.602229118347168	
Fri Oct 28 16:03:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_11812.fa	157	64	4	1.1703810691833496	
Fri Oct 28 16:03:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_11775.fa	3	65	10	0.9152467250823975	
Fri Oct 28 16:03:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_11772.fa	3	65	3	0.49977874755859375	
Fri Oct 28 16:03:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_11785.fa	3	65	1	0.6235122680664062	
Fri Oct 28 16:03:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_11780.fa	3	65	4	0.5461194515228271	
Fri Oct 28 16:03:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_11781.fa	4	65	3	0.6341776847839355	
Fri Oct 28 16:03:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_11802.fa	8	65	1	0.6948549747467041	
Fri Oct 28 16:03:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_11754.fa	9	65	1	0.6827487945556641	
Fri Oct 28 16:03:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_11796.fa	12	65	3	0.5027222633361816	
Fri Oct 28 16:03:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_11753.fa	15	65	6	0.9722950458526611	
Fri Oct 28 16:03:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_11752.fa	19	65	4	1.053443431854248	
Fri Oct 28 16:03:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_11751.fa	66	65	10	1.773594617843628	
Fri Oct 28 16:03:16 2022	/home/disco/Data/pandora-msas/msas/Cluster_11746.fa	114	65	61	4.440385818481445	
Fri Oct 28 16:03:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_11748.fa	129	65	9	1.3216924667358398	
Fri Oct 28 16:03:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_11743.fa	152	65	10	1.7073707580566406	
Fri Oct 28 16:03:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_11747.fa	152	65	14	1.69451904296875	
Fri Oct 28 16:03:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_11741.fa	156	65	7	1.0092918872833252	
Fri Oct 28 16:03:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_11790.fa	156	65	7	1.4134786128997803	
Fri Oct 28 16:03:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_11744.fa	156	65	4	0.9552605152130127	
Fri Oct 28 16:03:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_11742.fa	157	65	13	1.5266199111938477	
Fri Oct 28 16:03:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_11749.fa	157	65	4	0.9234774112701416	
Fri Oct 28 16:03:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_11745.fa	157	65	9	1.2069518566131592	
Fri Oct 28 16:03:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_11750.fa	157	65	23	2.3292243480682373	
Fri Oct 28 16:03:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_11771.fa	157	65	33	2.7517683506011963	
Fri Oct 28 16:03:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_11767.fa	268	65	144	5.977878570556641	
Fri Oct 28 16:03:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_11729.fa	3	66	3	1.0320885181427002	
Fri Oct 28 16:03:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_11696.fa	4	66	2	0.6833367347717285	
Fri Oct 28 16:03:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11869.fa	4	66	4	0.6390490531921387	
Fri Oct 28 16:03:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11689.fa	6	66	3	0.6011617183685303	
Fri Oct 28 16:03:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11682.fa	8	66	2	0.674464225769043	
Fri Oct 28 16:03:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11713.fa	17	66	1	0.4875214099884033	
Fri Oct 28 16:03:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_11715.fa	17	66	8	1.2138936519622803	
Fri Oct 28 16:03:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_11693.fa	18	66	4	1.1895627975463867	
Fri Oct 28 16:03:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_11695.fa	25	66	14	1.9561753273010254	
Fri Oct 28 16:03:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_11684.fa	30	66	5	1.0468814373016357	
Fri Oct 28 16:03:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_11683.fa	46	66	7	1.0401701927185059	
Fri Oct 28 16:03:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_11679.fa	46	66	3	0.613429069519043	
Fri Oct 28 16:03:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_11671.fa	68	66	2	0.7335975170135498	
Fri Oct 28 16:03:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_11677.fa	136	66	30	2.702847719192505	
Fri Oct 28 16:03:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_11674.fa	156	66	2	0.6754834651947021	
Fri Oct 28 16:03:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_11673.fa	156	66	2	0.6680483818054199	
Fri Oct 28 16:03:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_11672.fa	157	66	5	1.0932178497314453	
Fri Oct 28 16:03:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_11685.fa	157	66	4	1.120786428451538	
Fri Oct 28 16:03:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_11675.fa	157	66	5	1.0239052772521973	
Fri Oct 28 16:03:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_11646.fa	2	67	4	0.6722288131713867	
Fri Oct 28 16:04:00 2022	/home/disco/Data/pandora-msas/msas/Cluster_11645.fa	2	67	3	0.6528322696685791	
Fri Oct 28 16:04:01 2022	/home/disco/Data/pandora-msas/msas/Cluster_11665.fa	3	67	8	1.1243305206298828	
Fri Oct 28 16:04:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_11628.fa	3	67	3	0.796220064163208	
Fri Oct 28 16:04:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_11618.fa	7	67	3	0.6576371192932129	
Fri Oct 28 16:04:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_11660.fa	11	67	2	0.6963138580322266	
Fri Oct 28 16:04:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_11636.fa	12	67	1	0.772597074508667	
Fri Oct 28 16:04:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_11629.fa	12	67	2	0.6668293476104736	
Fri Oct 28 16:04:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_11621.fa	22	67	9	1.3766837120056152	
Fri Oct 28 16:04:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_11617.fa	24	67	47	3.681288003921509	
Fri Oct 28 16:04:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_11619.fa	28	67	3	0.8014082908630371	
Fri Oct 28 16:04:13 2022	/home/disco/Data/pandora-msas/msas/Cluster_11625.fa	28	67	23	2.7718095779418945	
Fri Oct 28 16:04:15 2022	/home/disco/Data/pandora-msas/msas/Cluster_11622.fa	34	67	8	1.9192707538604736	
Fri Oct 28 16:04:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_11626.fa	50	67	14	1.92401123046875	
Fri Oct 28 16:04:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_11620.fa	72	67	16	2.3260843753814697	
